nohup: ignoring input
/opt/pytorch/lib/python3.13/site-packages/torch/cuda/__init__.py:65: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/ubuntu/.netrc.
wandb: Currently logged in as: vkalva (vkalva-carnegie-mellon-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.25.1
wandb: Run data is saved locally in /home/ubuntu/16831_IRL_Project/wandb/run-20260322_233647-g28gr9c0
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run ppo_v1
wandb: ⭐️ View project at https://wandb.ai/vkalva-carnegie-mellon-university/locomimic
wandb: 🚀 View run at https://wandb.ai/vkalva-carnegie-mellon-university/locomimic/runs/g28gr9c0
Run      : ppo_v1
Device   : cuda
Steps    : 3000000
N envs   : 4
Rollout  : 4096
Step        7 | Ep     0 | Return    22.57 | Steps    8 | Avg100 R=  22.57 L=  8.0
Step     1913 | Ep   500 | Return    31.31 | Steps   12 | Avg100 R=  37.18 L= 15.2
Step     3749 | Ep  1000 | Return    25.90 | Steps    9 | Avg100 R=  36.01 L= 14.8
Step     5642 | Ep  1500 | Return    32.42 | Steps   12 | Avg100 R=  36.67 L= 15.0
Step     7490 | Ep  2000 | Return    43.29 | Steps   18 | Avg100 R=  36.43 L= 15.2
Step     9400 | Ep  2500 | Return    48.23 | Steps   18 | Avg100 R=  38.18 L= 15.9
Step    11304 | Ep  3000 | Return    33.88 | Steps   15 | Avg100 R=  35.08 L= 14.6
Step    13224 | Ep  3500 | Return    17.27 | Steps    8 | Avg100 R=  37.89 L= 15.8
Step    15118 | Ep  4000 | Return    19.83 | Steps    7 | Avg100 R=  37.12 L= 15.3
Step    16995 | Ep  4500 | Return    38.01 | Steps   17 | Avg100 R=  35.73 L= 14.6
Step    18906 | Ep  5000 | Return    27.58 | Steps   13 | Avg100 R=  36.42 L= 15.1
Step    20809 | Ep  5500 | Return    55.38 | Steps   23 | Avg100 R=  37.17 L= 15.3
Step    22696 | Ep  6000 | Return    41.84 | Steps   17 | Avg100 R=  35.57 L= 14.8
Step    24577 | Ep  6500 | Return    47.44 | Steps   19 | Avg100 R=  37.45 L= 15.6
Step    26477 | Ep  7000 | Return    27.59 | Steps   10 | Avg100 R=  36.57 L= 15.5
Step    28387 | Ep  7500 | Return    41.95 | Steps   18 | Avg100 R=  36.40 L= 15.1
Step    30321 | Ep  8000 | Return    38.15 | Steps   15 | Avg100 R=  38.56 L= 15.6
Step    32227 | Ep  8500 | Return    36.84 | Steps   16 | Avg100 R=  34.44 L= 14.5
Step    34114 | Ep  9000 | Return    28.10 | Steps   12 | Avg100 R=  34.39 L= 14.4
Step    36013 | Ep  9500 | Return    17.34 | Steps    7 | Avg100 R=  36.89 L= 15.1
Step    37919 | Ep 10000 | Return    34.57 | Steps   15 | Avg100 R=  37.04 L= 15.5
Step    39846 | Ep 10500 | Return    57.05 | Steps   24 | Avg100 R=  35.94 L= 15.0
Step    41758 | Ep 11000 | Return    32.70 | Steps   13 | Avg100 R=  37.99 L= 15.9
Step    43650 | Ep 11500 | Return    30.47 | Steps   12 | Avg100 R=  34.51 L= 14.3
Step    45614 | Ep 12000 | Return    27.44 | Steps   13 | Avg100 R=  37.09 L= 15.7
Step    47530 | Ep 12500 | Return    28.43 | Steps   11 | Avg100 R=  38.04 L= 15.8
Step    49463 | Ep 13000 | Return    55.15 | Steps   22 | Avg100 R=  36.55 L= 15.6
Step    51392 | Ep 13500 | Return    43.24 | Steps   17 | Avg100 R=  37.70 L= 15.6
Step    53320 | Ep 14000 | Return    76.84 | Steps   32 | Avg100 R=  37.58 L= 15.8
Step    55255 | Ep 14500 | Return    33.56 | Steps   16 | Avg100 R=  35.83 L= 15.0
Step    57204 | Ep 15000 | Return    27.09 | Steps   10 | Avg100 R=  34.95 L= 14.7
Step    59167 | Ep 15500 | Return    33.90 | Steps   15 | Avg100 R=  38.01 L= 15.9
Step    61099 | Ep 16000 | Return    27.66 | Steps   10 | Avg100 R=  37.10 L= 15.5
Step    63069 | Ep 16500 | Return    38.76 | Steps   16 | Avg100 R=  37.19 L= 15.7
Step    65012 | Ep 17000 | Return    36.60 | Steps   16 | Avg100 R=  36.03 L= 15.1
Step    66978 | Ep 17500 | Return    34.13 | Steps   17 | Avg100 R=  38.58 L= 16.3
Step    68984 | Ep 18000 | Return    30.76 | Steps   11 | Avg100 R=  37.82 L= 15.8
Step    70995 | Ep 18500 | Return    36.83 | Steps   15 | Avg100 R=  39.52 L= 16.7
Step    72972 | Ep 19000 | Return    22.70 | Steps   10 | Avg100 R=  37.93 L= 15.7
Step    74963 | Ep 19500 | Return    48.38 | Steps   20 | Avg100 R=  37.14 L= 15.6
Step    76939 | Ep 20000 | Return    46.50 | Steps   20 | Avg100 R=  39.72 L= 16.7
Step    78887 | Ep 20500 | Return    39.94 | Steps   22 | Avg100 R=  35.63 L= 15.1
Step    80899 | Ep 21000 | Return    39.69 | Steps   18 | Avg100 R=  38.55 L= 16.5
Step    82872 | Ep 21500 | Return    43.16 | Steps   20 | Avg100 R=  37.21 L= 15.8
Step    84907 | Ep 22000 | Return    42.78 | Steps   22 | Avg100 R=  39.49 L= 16.9
Step    86970 | Ep 22500 | Return    37.45 | Steps   17 | Avg100 R=  39.34 L= 16.5
Step    88993 | Ep 23000 | Return    33.13 | Steps   13 | Avg100 R=  38.59 L= 16.2
Step    90974 | Ep 23500 | Return    26.45 | Steps   10 | Avg100 R=  37.87 L= 16.2
Step    92999 | Ep 24000 | Return    65.10 | Steps   28 | Avg100 R=  38.20 L= 16.1
Step    95018 | Ep 24500 | Return    30.51 | Steps   13 | Avg100 R=  38.68 L= 16.5
Step    96975 | Ep 25000 | Return    25.44 | Steps   10 | Avg100 R=  39.18 L= 16.9
Step    98944 | Ep 25500 | Return    36.44 | Steps   18 | Avg100 R=  35.32 L= 15.0
Step   100952 | Ep 26000 | Return    26.98 | Steps   11 | Avg100 R=  37.14 L= 15.5
Step   102976 | Ep 26500 | Return    25.31 | Steps   11 | Avg100 R=  37.18 L= 16.0
Step   104985 | Ep 27000 | Return    58.68 | Steps   28 | Avg100 R=  36.67 L= 15.6
Step   107026 | Ep 27500 | Return    34.47 | Steps   16 | Avg100 R=  39.06 L= 16.6
Step   109025 | Ep 28000 | Return    42.17 | Steps   17 | Avg100 R=  39.03 L= 16.6
Step   111072 | Ep 28500 | Return    51.40 | Steps   22 | Avg100 R=  38.17 L= 16.4
Step   113111 | Ep 29000 | Return    25.79 | Steps   12 | Avg100 R=  38.98 L= 16.7
Step   115089 | Ep 29500 | Return    42.16 | Steps   16 | Avg100 R=  40.35 L= 17.1
Step   117127 | Ep 30000 | Return    35.92 | Steps   14 | Avg100 R=  38.76 L= 16.5
Step   119197 | Ep 30500 | Return    24.51 | Steps    9 | Avg100 R=  37.06 L= 15.6
Step   121276 | Ep 31000 | Return    43.04 | Steps   18 | Avg100 R=  37.91 L= 16.3
Step   123369 | Ep 31500 | Return    37.82 | Steps   17 | Avg100 R=  38.15 L= 16.3
Step   125442 | Ep 32000 | Return    31.07 | Steps   12 | Avg100 R=  38.71 L= 16.7
Step   127485 | Ep 32500 | Return    33.34 | Steps   14 | Avg100 R=  42.52 L= 18.1
Step   129521 | Ep 33000 | Return    44.58 | Steps   19 | Avg100 R=  37.30 L= 15.9
Step   131609 | Ep 33500 | Return    35.08 | Steps   15 | Avg100 R=  40.13 L= 16.8
Step   133648 | Ep 34000 | Return    36.07 | Steps   16 | Avg100 R=  38.19 L= 16.2
Step   135711 | Ep 34500 | Return    40.07 | Steps   18 | Avg100 R=  37.94 L= 16.5
Step   137745 | Ep 35000 | Return    27.65 | Steps   12 | Avg100 R=  37.81 L= 16.2
Step   139774 | Ep 35500 | Return    26.79 | Steps   10 | Avg100 R=  37.08 L= 15.8
Step   141824 | Ep 36000 | Return    34.45 | Steps   15 | Avg100 R=  38.91 L= 16.6
Step   143888 | Ep 36500 | Return    37.94 | Steps   18 | Avg100 R=  37.21 L= 16.0
Step   145926 | Ep 37000 | Return    48.27 | Steps   22 | Avg100 R=  36.73 L= 16.1
Step   148008 | Ep 37500 | Return    21.58 | Steps    8 | Avg100 R=  37.66 L= 16.1
Step   150097 | Ep 38000 | Return    52.36 | Steps   26 | Avg100 R=  38.35 L= 16.4
Step   152184 | Ep 38500 | Return    56.37 | Steps   23 | Avg100 R=  39.56 L= 16.9
Step   154275 | Ep 39000 | Return    33.29 | Steps   13 | Avg100 R=  37.44 L= 16.2
Step   156335 | Ep 39500 | Return    36.08 | Steps   17 | Avg100 R=  36.63 L= 15.8
Step   158444 | Ep 40000 | Return    33.95 | Steps   15 | Avg100 R=  39.84 L= 17.3
Step   160514 | Ep 40500 | Return    29.65 | Steps   14 | Avg100 R=  38.08 L= 16.3
Step   162654 | Ep 41000 | Return    26.51 | Steps   10 | Avg100 R=  39.63 L= 17.0
Step   164807 | Ep 41500 | Return    39.94 | Steps   17 | Avg100 R=  40.41 L= 17.1
Step   166853 | Ep 42000 | Return    33.10 | Steps   13 | Avg100 R=  40.59 L= 17.2
Step   168983 | Ep 42500 | Return    26.30 | Steps   12 | Avg100 R=  38.58 L= 16.4
Step   171117 | Ep 43000 | Return    46.01 | Steps   24 | Avg100 R=  38.18 L= 16.5
Step   173156 | Ep 43500 | Return    52.47 | Steps   26 | Avg100 R=  39.47 L= 17.1
Step   175202 | Ep 44000 | Return    61.55 | Steps   25 | Avg100 R=  36.58 L= 15.6
Step   177335 | Ep 44500 | Return    20.78 | Steps    8 | Avg100 R=  37.12 L= 16.2
Step   179422 | Ep 45000 | Return    37.48 | Steps   17 | Avg100 R=  37.99 L= 16.8
Step   181502 | Ep 45500 | Return    35.99 | Steps   16 | Avg100 R=  37.43 L= 16.1
Step   183660 | Ep 46000 | Return    41.48 | Steps   18 | Avg100 R=  39.01 L= 16.9
Step   185659 | Ep 46500 | Return    37.52 | Steps   17 | Avg100 R=  37.87 L= 16.3
Step   187783 | Ep 47000 | Return    43.45 | Steps   16 | Avg100 R=  38.25 L= 16.6
Step   189858 | Ep 47500 | Return    53.62 | Steps   23 | Avg100 R=  38.20 L= 16.3
Step   191961 | Ep 48000 | Return    24.03 | Steps    9 | Avg100 R=  38.41 L= 16.4
Step   194080 | Ep 48500 | Return    39.91 | Steps   17 | Avg100 R=  38.83 L= 17.0
Step   196202 | Ep 49000 | Return    40.63 | Steps   17 | Avg100 R=  39.39 L= 16.9
Step   198324 | Ep 49500 | Return    25.68 | Steps   10 | Avg100 R=  40.12 L= 17.5
Step   200430 | Ep 50000 | Return    28.76 | Steps   12 | Avg100 R=  38.19 L= 16.6
Step   202544 | Ep 50500 | Return    42.34 | Steps   16 | Avg100 R=  39.19 L= 16.7
Step   204714 | Ep 51000 | Return    49.21 | Steps   21 | Avg100 R=  39.76 L= 17.1
Step   206805 | Ep 51500 | Return    40.74 | Steps   17 | Avg100 R=  39.12 L= 17.1
Step   208958 | Ep 52000 | Return    56.22 | Steps   28 | Avg100 R=  40.23 L= 17.5
Step   211094 | Ep 52500 | Return    38.33 | Steps   18 | Avg100 R=  40.49 L= 17.3
Step   213176 | Ep 53000 | Return    34.84 | Steps   15 | Avg100 R=  39.65 L= 17.1
Step   215305 | Ep 53500 | Return    45.66 | Steps   19 | Avg100 R=  39.07 L= 16.9
Step   217440 | Ep 54000 | Return    35.82 | Steps   16 | Avg100 R=  40.49 L= 17.5
Step   219577 | Ep 54500 | Return    38.60 | Steps   15 | Avg100 R=  40.36 L= 17.5
Step   221688 | Ep 55000 | Return    46.83 | Steps   22 | Avg100 R=  36.70 L= 16.1
Step   223792 | Ep 55500 | Return    19.63 | Steps   10 | Avg100 R=  38.68 L= 16.6
